iter	Passed	Remaining
0	1	1579
1	2	1183
2	3	1130
3	4	1043
4	4	975
5	5	960
6	6	957
7	7	954
8	9	992
9	9	980
10	10	964
11	11	958
12	12	946
13	13	931
14	13	917
15	14	906
16	15	893
17	16	896
18	17	898
19	18	902
20	18	885
21	19	872
22	21	898
23	22	907
24	23	900
25	23	893
26	24	895
27	26	904
28	28	949
29	30	976
30	31	999
31	32	988
32	34	1022
33	35	1017
34	36	1011
35	37	995
36	37	983
37	39	1010
38	40	1008
39	42	1009
40	45	1069
41	50	1153
42	51	1141
43	51	1129
44	52	1116
45	53	1101
46	53	1089
47	54	1075
48	54	1062
49	55	1055
50	57	1064
51	58	1061
52	59	1059
53	60	1060
54	61	1054
55	62	1045
56	62	1033
57	63	1024
58	63	1015
59	64	1006
60	64	993
61	65	983
62	65	976
63	66	965
64	66	957
65	67	951
66	67	944
67	68	938
68	69	931
69	69	923
70	70	916
71	70	908
72	70	901
73	71	894
74	72	888
75	72	881
76	72	875
77	73	868
78	73	862
79	74	856
80	74	850
81	75	845
82	76	840
83	76	836
84	77	830
85	77	825
86	78	819
87	78	813
88	78	807
89	79	802
90	79	797
91	80	791
92	80	786
93	81	781
94	81	778
95	82	774
96	82	771
97	83	766
98	83	762
99	84	757
100	84	753
101	85	749
102	86	751
103	86	747
104	87	743
105	87	740
106	88	735
107	89	735
108	89	731
109	89	727
110	90	726
111	91	723
112	91	720
113	92	719
114	93	716
115	93	711
116	94	710
117	94	707
118	94	702
119	95	700
120	95	696
121	96	693
122	96	690
123	97	687
124	97	683
125	98	680
126	98	678
127	99	676
128	99	673
129	100	672
130	101	670
131	101	665
132	101	664
133	102	663
134	103	661
135	103	659
136	104	658
137	105	657
138	105	655
139	106	652
140	106	651
141	107	649
142	107	647
143	108	644
144	109	643
145	109	641
146	110	639
147	110	637
148	111	634
149	111	632
150	112	630
151	112	628
152	113	625
153	113	623
154	114	621
155	114	619
156	115	617
157	115	615
158	116	613
159	116	613
160	117	611
161	118	610
162	118	610
163	119	608
164	119	606
165	120	604
166	120	603
167	121	601
168	121	599
169	122	596
170	122	594
171	123	593
172	123	591
173	124	589
174	124	588
175	125	586
176	125	584
177	126	582
178	126	580
179	127	579
180	127	578
181	128	576
182	128	574
183	129	573
184	129	571
185	130	569
186	130	567
187	131	566
188	131	564
189	132	562
190	132	561
191	132	559
192	133	557
193	133	555
194	134	554
195	134	552
196	134	550
197	135	548
198	135	546
199	136	545
200	136	543
201	137	541
202	137	539
203	137	538
204	138	536
205	138	534
206	139	533
207	139	531
208	139	529
209	140	527
210	140	526
211	141	524
212	141	522
213	141	521
214	142	520
215	143	519
216	143	518
217	144	517
218	144	515
219	145	514
220	145	512
221	145	511
222	146	509
223	146	508
224	147	507
225	147	506
226	148	504
227	148	503
228	149	503
229	149	501
230	150	501
231	151	500
232	151	500
233	152	499
234	153	499
235	153	497
236	154	496
237	154	495
238	155	493
239	155	492
240	156	491
241	156	490
242	156	488
243	157	487
244	157	486
245	158	484
246	158	483
247	158	482
248	159	480
249	159	479
250	160	478
251	160	476
252	160	475
253	161	474
254	161	472
255	162	471
256	162	470
257	163	469
258	163	468
259	164	467
260	164	466
261	165	464
262	165	463
263	165	462
264	166	461
265	166	459
266	167	458
267	167	457
268	167	456
269	168	455
270	168	453
271	169	452
272	169	451
273	170	450
274	170	449
275	170	448
276	171	446
277	171	445
278	172	444
279	172	443
280	172	442
281	173	441
282	173	440
283	174	439
284	174	438
285	175	437
286	175	436
287	176	435
288	176	435
289	177	434
290	177	433
291	178	433
292	179	432
293	179	430
294	180	430
295	180	429
296	180	428
297	181	427
298	181	426
299	182	425
300	182	424
301	183	423
302	183	423
303	184	422
304	185	422
305	185	421
306	186	420
307	186	419
308	187	418
309	187	418
310	188	417
311	188	416
312	189	415
313	189	414
314	190	413
315	190	412
316	191	411
317	191	410
318	191	409
319	192	408
320	192	407
321	193	406
322	193	405
323	194	404
324	194	403
325	194	402
326	195	402
327	195	401
328	196	400
329	196	399
330	197	398
331	197	397
332	198	396
333	198	395
334	198	394
335	199	393
336	199	392
337	200	391
338	200	391
339	200	390
340	201	389
341	201	388
342	202	387
343	202	386
344	203	385
345	203	384
346	203	383
347	204	382
348	204	381
349	205	380
350	205	380
351	206	379
352	206	378
353	206	377
354	207	376
355	207	375
356	208	374
357	208	373
358	208	372
359	209	372
360	209	371
361	210	370
362	210	369
363	211	368
364	211	368
365	212	367
366	212	366
367	213	365
368	213	365
369	213	364
370	214	363
371	214	362
372	215	362
373	215	361
374	216	360
375	216	359
376	217	358
377	217	357
378	217	357
379	218	356
380	218	355
381	219	354
382	219	353
383	219	352
384	220	351
385	220	350
386	221	350
387	221	349
388	221	348
389	222	347
390	222	346
391	222	345
392	223	345
393	223	344
394	224	343
395	224	342
396	225	341
397	225	341
398	225	340
399	226	339
400	226	338
401	227	337
402	227	337
403	228	336
404	228	335
405	229	335
406	229	334
407	230	334
408	231	333
409	231	333
410	232	332
411	232	332
412	233	331
413	233	330
414	233	329
415	234	328
416	234	327
417	235	327
418	235	326
419	235	325
420	236	324
421	236	324
422	237	323
423	237	322
424	238	322
425	238	321
426	238	320
427	239	319
428	239	319
429	240	318
430	240	317
431	240	316
432	241	316
433	241	315
434	242	314
435	242	313
